Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Electrical Rd 2,Batteries,Roxborough,RAYOVAC,810-2,RAYOVAC 810-2 1.5V N ALKALINE BATT,EA, 1.02 , 12 ,
Electrical Rd 2,Batteries,Roxborough,RAYOVAC,KECR2016-1,RAYOVAC KECR2016-1 3V LITH ENT BATT,EA, 1.15 , 8 ,
Electrical,Batteries,Roxborough,RAYOVAC,AL-AAA,RAYOVAC AL-AAA SZAAA ALK IND BATT,EA, 0.29 , 7 ,
Electrical Rd 2,Batteries,Roxborough,UNDEFINED,17136 18 VOLT BATTERY CHARGER,17136 18 VOLT BATTERY CHARGER,EA, 320.86 , 3 ,
Electrical,Batteries,Sanford,AMERICAN POWER CONVERSION- APC,SYBT5,SYBT5 APC SYMMETRAL LXBATTERY MODULE,EA, 379.99 , 6 ,
Electrical,Batteries,Sanford,DURA-CELL BATTERIES,DL123AB2PK,DUR DL123AB2PK 3V PHOTO/ELE/MED BAT,EA, 14.76 ," 1,182 ",
Electrical,Batteries,Sanford,DURA-CELL BATTERIES,PC1500,DUR PC1500 AA SIZE ALKALINE BAT-CTN,EA, 0.38 ," 9,576 ",
Electrical,Batteries,Sanford,DURA-CELL BATTERIES,PC2400,DUR PC2400 AAA ALKALINE BATTERY,EA, 0.31 ," 4,680 ",
Electrical,Batteries,Sanford,DURA-CELL BATTERIES,PC1604,DUR PC1604 9V ALKALINE BATTERY,EA, 1.13 , 912 ,
Electrical,Batteries,Sanford,DURA-CELL BATTERIES,PC1300,DUR PC1300 PROCELL ALKA BATT D 1.5V,EA, 0.65 ," 1,536 ",
Electrical,Batteries,Sanford,DURA-CELL BATTERIES,PC1400,DUR PC1400 PROCELL ALKA BATT C 1.5V,EA, 0.56 , 936 ,
Electrical Rd 2,Batteries,Sanford,DURA-CELL BATTERIES,D389/390PK,DUR D389/390PK 1.5V WATCH BATTERY,EA, 0.89 , 30 ,
Electrical,Batteries,Sanford,ENERGIZER,EN91,EN91 ENERGIZER INDUSTRIAL AA 24/PACK,EA, 0.41 ," 3,260 ",
Electrical,Batteries,Sanford,ENERGIZER,EN91IC,"BATTERY,AA,ENGZR",EA, 0.27 ," 1,673 ",
Electrical Rd 2,Batteries,Sanford,ENERGIZER,E92FP12,"BATTERY,AAA,ENGZR,12/PK",PK, 13.64 , 25 ,
Electrical,Batteries,Sanford,ENERGIZER,EN92,EN92 ENERGIZER INDUSTRIAL AAA 24/PACK,EA, 0.31 , 823 ,
Electrical Rd 2,Batteries,Sanford,ENERGIZER,A91BP8,"BATTERY,AA,ALK,EVRDY,GOLD",PK, 9.13 , 27 ,
Electrical Rd 2,Batteries,Sanford,ENERGIZER,1251,T&B 1251 1X3/4 MALL REDUCER,EA, 4.23 , 47 ,
Electrical,Batteries,Sanford,ENERGIZER,EN22,EN22 ENERGIZER INDUSTRIAL 9V 12/PACK,EA, 1.44 , 136 ,
Electrical,Batteries,Sanford,ENERGIZER,EN92IC24,"BATTERY,AAA,ENGZR",EA, 0.29 , 628 ,
Electrical,Batteries,Sanford,ENERGIZER,EN95,EN95 ENERGIZER INDUSTRIAL D 12/PACK,EA, 0.78 , 193 ,
Electrical,Batteries,Sanford,ENERGIZER,357BP,EV-REDY 357BP 1.5V SILVER BATTERY,EA, 1.12 , 128 ,
Electrical,Batteries,Sanford,ENERGIZER,ECR2032BP,EV-REDY ECR2032BP 3V LITHIUM BAT,EA, 0.98 , 122 ,
Electrical Rd 2,Batteries,Sanford,ENERGIZER,357,EV-REDY 357 WATCH/CAL BATTERY,EA, 0.84 , 110 ,
Electrical,Batteries,Sanford,ENERGIZER,EN93,"ENERGIZER IND ""C"" U/M EACH 12/PACK",EA, 0.66 , 96 ,
Electrical Rd 2,Batteries,Sanford,ENERGIZER,ECR2016BP,EV-REDY ECR2016BP 3V LITHIUM BAT,EA, 0.98 , 25 ,
Electrical Rd 2,Batteries,Sanford,ENERGIZER,386/301 BATTERIES,386/301 BATTERIES                     ;,EA, 0.68 , 24 ,
Electrical Rd 2,Batteries,Sanford,ENERGIZER,392BP,EV-REDY 392BP 1.5V WATCH BATTERY,EA, 0.72 , 22 ,
Electrical Rd 2,Batteries,Sanford,JASCO BATTERY SPECIALIST,TL-2100S,JASCO TL-2100S 3.6V 2.1AH LITH BATT,EA, 14.50 , 29 ,
Electrical Rd 2,Batteries,Sanford,NEWARK INONE,A76BP (81F171),A76BP81F171,EA, 1.45 , 40 ,
Electrical,Batteries,Sanford,PANASONIC,BR2325,BR2325 3V LITHIUM BATTERIES,EA, 3.20 , 32 ,
Electrical,Batteries,Sanford,POWER SONIC BATTERIES,PS6100,PS PS6100 6V-12AH BATTERY,EA, 26.31 , 20 ,
Electrical,Batteries,Sanford,RAYOVAC,I6V-B 6V (USE 627X13179) BATTERY,I6V-B 6V (USE 627X13179) BATTERY,EA, 9.37 , 95 ,
Electrical,Batteries,Sanford,RAYOVAC,ALAA-24 ALKALINE AA SIZE - 24 PACK,ALAA-24 ALKALINE AA SIZE - 24 PACK,EA, 12.79 , 63 ,
Electrical Rd 2,Batteries,Sanford,RAYOVAC,I6V-B2 6 VLT LANTERN W/BATTERY,I6V-B2 6 VLT LANTERN W/BATTERY,EA, 10.30 , 42 ,
Electrical,Batteries,Sanford,RAYOVAC,AL-AAA,"BATTERY,AAA,INDSTRL",PK, 1.26 , 316 ,
Electrical,Batteries,Sanford,RAYOVAC,AL-D,RAYOVAC AL-D SZ D ALK IND BATT,EA, 0.77 , 436 ,
Electrical Rd 2,Batteries,Sanford,RAYOVAC,AL-AAA-18 ALKALINE AAA 18 PACK,AL-AAA-18 ALKALINE AAA 18 PACK,EA, 10.14 , 32 ,
Electrical,Batteries,Sanford,RAYOVAC,AL-9V,RAYOVAC AL-9V 9V ALK IND BATT,EA, 1.35 , 210 ,
Electrical,Batteries,Sanford,RAYOVAC,AL-AAA,RAYOVAC AL-AAA SZAAA ALK IND BATT,EA, 0.31 , 666 ,
Electrical,Batteries,Sanford,RAYOVAC,AL-AA,RAYOVAC AL-AA SZAA ALK IND BATT,EA, 0.30 , 448 ,
Electrical Rd 2,Batteries,Sanford,RAYOVAC,AL-AA - 8 PACK,AL-AA - 8 PACK,EA, 3.82 , 30 ,
Electrical,Batteries,Sanford,RAYOVAC,KECR2032-1,RAYOVAC KECR2032-1 3V LITH ENT BATT,EA, 0.87 , 102 ,
Electrical,Batteries,Sanford,RAYOVAC,AL-AA,"BATTERY,AA,INDSTRL",EA, 0.16 , 240 ,
Electrical Rd 2,Batteries,Sanford,RAYOVAC,KECR2016-1,RAYOVAC KECR2016-1 3V LITH ENT BATT,EA, 1.03 , 30 ,
Electrical Rd 2,Batteries,Sanford,RAYOVAC,810-2,RAYOVAC 810-2 1.5V N ALKALINE BATT,EA, 1.00 , 20 ,
